player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density,cluster,archetype,archetype_color
Shakib Al Hasan,MO,76,9,67,1.628,0.7778,0.4776,-55.9,66.48,122.38,-0.0747,0.0566,0.1313,115.76,0.5132,0.3098,3,Explosive Aggressor,#3498db
RG Sharma,MO,167,17,150,1.74,0.8235,0.4733,-53.95,77.73,131.68,-0.0657,0.082,0.1477,126.19,0.509,0.292,3,Explosive Aggressor,#3498db
Yuvraj Singh,MO,110,33,77,1.604,0.6667,0.4156,-57.61,83.05,140.66,-0.0894,0.0918,0.1812,123.38,0.4909,0.377,4,Pressure Vulnerable,#e74c3c
AB de Villiers,MO,126,6,120,1.176,0.5,0.425,-47.69,91.54,139.23,-0.0533,0.0963,0.1496,136.96,0.4286,0.2508,3,Explosive Aggressor,#3498db
D Ramdin,MO,16,5,11,1.65,0.6,0.3636,-64.19,65.15,129.35,-0.0835,0.0608,0.1443,109.29,0.4375,0.3432,4,Pressure Vulnerable,#e74c3c
DJ Bravo,MO,80,18,62,0.804,0.3889,0.4839,-35.84,76.92,112.76,-0.0395,0.0672,0.1067,104.69,0.4625,0.3581,3,Explosive Aggressor,#3498db
RA Jadeja,MO,76,15,61,1.83,0.6,0.3279,-42.09,73.82,115.9,-0.0549,0.0585,0.1134,107.6,0.3816,0.3169,3,Explosive Aggressor,#3498db
S Dhawan,MO,118,9,109,1.367,0.7778,0.5688,-38.09,88.37,126.46,-0.0235,0.1137,0.1372,123.55,0.5847,0.2597,3,Explosive Aggressor,#3498db
SK Raina,MO,146,10,136,1.912,0.9,0.4706,-38.41,92.62,131.03,-0.0191,0.1257,0.1448,128.4,0.5,0.2567,3,Explosive Aggressor,#3498db
DJ Hussey,MO,78,11,67,1.523,0.7273,0.4776,-41.62,79.66,121.28,-0.0282,0.0887,0.1169,115.41,0.5128,0.3139,3,Explosive Aggressor,#3498db
SC Ganguly,MO,29,7,22,1.209,0.7143,0.5909,-50.66,58.66,109.32,-0.0565,0.0618,0.1183,97.09,0.6207,0.3869,3,Explosive Aggressor,#3498db
V Kohli,MO,213,16,197,2.148,0.9375,0.4365,-48.25,78.98,127.23,-0.0462,0.0809,0.1271,123.6,0.4742,0.2561,3,Explosive Aggressor,#3498db
SR Watson,MO,94,14,80,1.633,0.8571,0.525,-60.58,103.1,163.68,-0.092,0.1316,0.2236,154.66,0.5745,0.2987,2,Pressure Collapser,#9b59b6
YK Pathan,MO,64,11,53,1.676,0.7273,0.434,-46.9,97.27,144.17,-0.0585,0.1242,0.1827,136.11,0.4844,0.3289,3,Explosive Aggressor,#3498db
SS Tiwary,MO,39,6,33,0.579,0.3333,0.5758,-35.82,78.79,114.61,-0.0235,0.0838,0.1074,109.1,0.5385,0.3225,3,Explosive Aggressor,#3498db
SE Marsh,MO,89,7,82,1.745,1.0,0.5732,-44.57,99.75,144.32,-0.0254,0.1429,0.1683,140.81,0.6067,0.2571,3,Explosive Aggressor,#3498db
WP Saha,MO,46,9,37,1.799,0.7778,0.4324,-45.61,73.86,119.47,-0.0512,0.0567,0.1078,110.54,0.5,0.2962,3,Explosive Aggressor,#3498db
CL White,MO,76,12,64,1.58,0.6667,0.4219,-41.0,87.79,128.79,-0.0471,0.0871,0.1342,122.32,0.4605,0.3086,3,Explosive Aggressor,#3498db
Y Venugopal Rao,MO,23,8,15,0.804,0.375,0.4667,-17.94,101.97,119.9,-0.0183,0.1159,0.1342,113.66,0.4348,0.3455,3,Explosive Aggressor,#3498db
DR Smith,MO,36,6,30,1.429,1.0,0.7,-41.41,114.7,156.11,-0.0329,0.1785,0.2114,149.2,0.75,0.3306,3,Explosive Aggressor,#3498db
KA Pollard,MO,99,22,77,1.086,0.4091,0.3766,-52.29,78.85,131.13,-0.0731,0.0868,0.1598,119.52,0.3838,0.339,3,Explosive Aggressor,#3498db
DA Warner,MO,138,10,128,1.719,0.9,0.5234,-53.35,86.43,139.77,-0.0613,0.0954,0.1567,135.91,0.5507,0.2615,3,Explosive Aggressor,#3498db
JP Duminy,MO,80,9,71,2.906,0.7778,0.2676,-39.95,73.69,113.64,-0.0348,0.0594,0.0942,109.14,0.325,0.2803,3,Explosive Aggressor,#3498db
LMP Simmons,MO,44,12,32,1.27,0.8333,0.6562,-66.08,74.5,140.57,-0.1085,0.0702,0.1787,122.55,0.7045,0.3568,4,Pressure Vulnerable,#e74c3c
MC Henriques,MO,120,8,112,1.094,0.625,0.5714,-52.72,76.51,129.23,-0.0658,0.0633,0.1291,125.71,0.575,0.2761,3,Explosive Aggressor,#3498db
AD Mathews,MO,50,6,44,3.143,1.0,0.3182,-41.31,69.82,111.13,-0.028,0.0647,0.0927,106.17,0.4,0.3207,3,Explosive Aggressor,#3498db
GJ Bailey,MO,55,8,47,1.13,0.625,0.5532,-51.05,77.15,128.2,-0.0586,0.0609,0.1196,120.77,0.5636,0.2768,3,Explosive Aggressor,#3498db
MK Pandey,MO,97,11,86,1.69,0.7273,0.4302,-38.92,82.84,121.75,-0.0232,0.0921,0.1154,117.34,0.4639,0.277,3,Explosive Aggressor,#3498db
GC Wilson,MO,24,7,17,1.079,0.5714,0.5294,-21.93,83.55,105.48,-0.0211,0.0761,0.0972,99.08,0.5417,0.3717,1,Composed Accumulator,#2ecc71
AE Satterthwaite,MO,33,5,28,1.05,0.6,0.5714,-61.58,52.95,114.53,-0.0905,0.0412,0.1317,105.2,0.5758,0.343,4,Pressure Vulnerable,#e74c3c
CN Nation,MO,20,12,8,0.8,0.5,0.625,-29.22,68.83,98.05,-0.039,0.0639,0.1029,80.52,0.55,0.4886,1,Composed Accumulator,#2ecc71
DJS Dottin,MO,37,13,24,1.846,0.6923,0.375,-36.99,102.58,139.58,-0.0345,0.1279,0.1624,126.58,0.4865,0.3846,3,Explosive Aggressor,#3498db
EJG Morgan,MO,100,15,85,1.619,0.6667,0.4118,-43.62,83.33,126.95,-0.0558,0.091,0.1468,120.4,0.45,0.3203,3,Explosive Aggressor,#3498db
AT Rayudu,MO,96,9,87,1.841,0.8889,0.4828,-62.68,63.11,125.78,-0.091,0.048,0.139,119.91,0.5208,0.2999,4,Pressure Vulnerable,#e74c3c
R Ashwin,MO,18,5,13,0.371,0.2,0.5385,-66.98,56.73,123.71,-0.1151,0.0167,0.1318,105.1,0.4444,0.3303,4,Pressure Vulnerable,#e74c3c
AJ Finch,MO,119,9,110,1.45,0.7778,0.5364,-29.49,104.64,134.13,-0.0186,0.133,0.1516,131.9,0.5546,0.284,3,Explosive Aggressor,#3498db
MR Marsh,MO,90,6,84,1.333,0.6667,0.5,-57.21,76.13,133.34,-0.0903,0.0614,0.1517,129.53,0.5111,0.2882,3,Explosive Aggressor,#3498db
H Kaur,MO,84,17,67,1.232,0.5882,0.4776,-33.96,80.44,114.4,-0.0289,0.0968,0.1256,107.53,0.5,0.3431,3,Explosive Aggressor,#3498db
SFM Devine,MO,45,8,37,1.285,0.625,0.4865,-58.02,65.12,123.15,-0.0627,0.07,0.1327,112.83,0.5111,0.3147,3,Explosive Aggressor,#3498db
SR Taylor,MO,55,11,44,2.25,0.8182,0.3636,-38.71,77.19,115.89,-0.0444,0.0791,0.1235,108.15,0.4545,0.3285,3,Explosive Aggressor,#3498db
DA Miller,MO,136,14,122,1.508,0.6429,0.4262,-47.16,80.67,127.83,-0.0515,0.0841,0.1356,122.97,0.4485,0.2868,3,Explosive Aggressor,#3498db
SPD Smith,MO,102,5,97,2.205,1.0,0.4536,-54.0,65.0,119.0,-0.0838,0.0294,0.1132,116.35,0.4804,0.261,3,Explosive Aggressor,#3498db
STR Binny,MO,25,6,19,1.979,0.8333,0.4211,-65.67,66.72,132.39,-0.098,0.0593,0.1573,116.63,0.52,0.3606,4,Pressure Vulnerable,#e74c3c
MS Wade,MO,58,7,51,0.971,0.5714,0.5882,-61.49,75.43,136.92,-0.0937,0.0524,0.1462,129.5,0.5862,0.2732,3,Explosive Aggressor,#3498db
AD Hales,MO,51,5,46,1.415,0.8,0.5652,-65.68,74.87,140.55,-0.0954,0.061,0.1564,134.11,0.5882,0.2622,2,Pressure Collapser,#9b59b6
J Charles,MO,18,5,13,1.182,1.0,0.8462,-58.95,87.42,146.37,-0.0983,0.0778,0.1761,130.0,0.8889,0.3444,4,Pressure Vulnerable,#e74c3c
JC Buttler,MO,122,9,113,1.658,0.7778,0.469,-55.01,92.64,147.64,-0.0837,0.0943,0.178,143.58,0.4918,0.2651,3,Explosive Aggressor,#3498db
AD Russell,MO,71,21,50,1.378,0.5238,0.38,-45.33,125.48,170.8,-0.0564,0.1939,0.2503,157.4,0.4225,0.3788,3,Explosive Aggressor,#3498db
D van Niekerk,MO,31,7,24,0.571,0.2857,0.5,-45.0,59.21,104.22,-0.0675,0.0408,0.1083,94.06,0.4516,0.3771,3,Explosive Aggressor,#3498db
NJ Maddinson,MO,41,9,32,1.31,0.7778,0.5938,-43.78,89.08,132.86,-0.0174,0.1193,0.1366,123.25,0.6341,0.332,3,Explosive Aggressor,#3498db
GJ Maxwell,MO,175,14,161,1.332,0.7857,0.5901,-62.88,89.82,152.69,-0.0859,0.1099,0.1958,147.66,0.6057,0.2676,2,Pressure Collapser,#9b59b6
JW Wells,MO,77,13,64,2.462,0.8462,0.3438,-32.87,81.3,114.16,0.004,0.0927,0.0887,108.62,0.4286,0.2926,3,Explosive Aggressor,#3498db
TLW Cooper,MO,51,9,42,1.42,0.7778,0.5476,-45.96,79.19,125.15,-0.0683,0.0688,0.1371,117.04,0.5882,0.3357,3,Explosive Aggressor,#3498db
UT Khawaja,MO,34,6,28,1.647,1.0,0.6071,-58.97,67.27,126.24,-0.0723,0.053,0.1253,115.84,0.6765,0.2952,3,Explosive Aggressor,#3498db
KS Williamson,MO,89,6,83,1.383,0.6667,0.4819,-39.92,88.17,128.09,-0.0233,0.1052,0.1285,125.4,0.4944,0.2688,3,Explosive Aggressor,#3498db
SW Bates,MO,53,6,47,1.119,0.6667,0.5957,-34.66,82.65,117.32,-0.0328,0.0822,0.115,113.4,0.6038,0.2763,3,Explosive Aggressor,#3498db
RR Patel,MO,40,13,27,1.212,0.5385,0.4444,-50.35,91.34,141.69,-0.0737,0.1078,0.1815,125.33,0.475,0.3704,3,Explosive Aggressor,#3498db
JM Bairstow,MO,48,6,42,2.0,1.0,0.5,-56.48,88.5,144.97,-0.0796,0.0987,0.1783,137.91,0.5625,0.2993,3,Explosive Aggressor,#3498db
NR Kumar,MO,16,5,11,1.467,0.8,0.5455,-53.81,78.12,131.94,-0.0431,0.0651,0.1082,115.12,0.625,0.3115,3,Explosive Aggressor,#3498db
Javeria Khan,MO,24,5,19,1.9,0.8,0.4211,-43.02,61.41,104.44,-0.0505,0.0409,0.0914,95.47,0.5,0.3552,3,Explosive Aggressor,#3498db
Nain Abidi,MO,17,7,10,1.071,0.4286,0.4,-29.55,57.24,86.79,-0.029,0.0306,0.0595,74.62,0.4118,0.408,1,Composed Accumulator,#2ecc71
Bismah Maroof,MO,63,14,49,1.167,0.4286,0.3673,-40.53,59.67,100.2,-0.0333,0.0486,0.0819,91.2,0.381,0.3575,3,Explosive Aggressor,#3498db
Sana Mir,MO,23,11,12,2.182,0.5455,0.25,-10.52,61.42,71.94,0.0386,0.0555,0.0169,66.91,0.3913,0.4515,1,Composed Accumulator,#2ecc71
SA Campbelle,MO,37,13,24,1.662,0.6923,0.4167,-33.0,69.73,102.73,-0.0177,0.0726,0.0903,91.14,0.5135,0.4049,1,Composed Accumulator,#2ecc71
MM Lanning,MO,53,6,47,1.958,0.6667,0.3404,-37.5,84.33,121.83,-0.0462,0.1027,0.1489,117.59,0.3774,0.3319,3,Explosive Aggressor,#3498db
Nida Dar,MO,58,13,45,1.385,0.6154,0.4444,-60.08,53.97,114.05,-0.0869,0.0376,0.1246,100.58,0.4828,0.3561,4,Pressure Vulnerable,#e74c3c
AC Jayangani,MO,40,15,25,1.795,0.9333,0.52,-40.48,93.77,134.25,-0.0536,0.1359,0.1895,119.07,0.675,0.3939,3,Explosive Aggressor,#3498db
HASD Siriwardene,MO,24,9,15,1.0,0.3333,0.3333,-33.37,65.52,98.89,-0.0445,0.0564,0.1009,86.38,0.3333,0.4075,1,Composed Accumulator,#2ecc71
Rumana Ahmed,MO,20,7,13,9.286,0.7143,0.0769,-29.0,68.65,97.65,-0.0356,0.066,0.1016,87.5,0.3,0.4139,0,Steady Anchor,#34495e
Fargana Hoque,MO,27,8,19,1.484,0.625,0.4211,-30.98,64.66,95.65,-0.0224,0.047,0.0694,86.47,0.4815,0.3776,1,Composed Accumulator,#2ecc71
JA Burns,MO,33,5,28,0.747,0.4,0.5357,-30.85,106.13,136.97,-0.0195,0.1175,0.137,132.3,0.5152,0.2896,3,Explosive Aggressor,#3498db
HWR Cartwright,MO,45,7,38,0.603,0.2857,0.4737,-25.8,91.2,117.0,0.0351,0.1484,0.1133,112.99,0.4444,0.3366,3,Explosive Aggressor,#3498db
C Munro,MO,50,6,44,1.913,1.0,0.5227,-86.09,63.69,149.79,-0.1139,0.0623,0.1762,139.46,0.58,0.2815,2,Pressure Collapser,#9b59b6
BCJ Cutting,MO,29,5,24,0.436,0.2,0.4583,-39.18,93.4,132.58,-0.0365,0.099,0.1355,125.82,0.4138,0.3328,3,Explosive Aggressor,#3498db
M du Preez,MO,35,9,26,1.685,0.7778,0.4615,-44.34,65.77,110.11,-0.048,0.0634,0.1114,98.71,0.5429,0.3801,3,Explosive Aggressor,#3498db
NND de Silva,MO,33,11,22,5.333,0.7273,0.1364,-18.85,66.24,85.09,0.0129,0.0583,0.0454,78.8,0.3333,0.4085,0,Steady Anchor,#34495e
SV Samson,MO,103,6,97,1.198,0.6667,0.5567,-54.4,88.96,143.36,-0.08,0.0806,0.1606,140.2,0.5631,0.2515,3,Explosive Aggressor,#3498db
Sikandar Raza,MO,59,10,49,2.13,1.0,0.4694,-34.3,95.11,129.4,-0.0023,0.1318,0.1341,123.59,0.5593,0.3279,3,Explosive Aggressor,#3498db
NR Sciver,MO,43,5,38,1.9,0.6,0.3158,-44.58,73.63,118.22,-0.0248,0.0937,0.1185,113.03,0.3488,0.2873,3,Explosive Aggressor,#3498db
KJ Garth,MO,15,8,7,0.438,0.125,0.2857,-36.43,60.01,96.44,-0.0515,0.0288,0.0803,77.01,0.2,0.4329,1,Composed Accumulator,#2ecc71
CL Tryon,MO,21,5,16,2.4,0.6,0.25,-62.64,62.73,125.37,-0.0776,0.0741,0.1517,110.45,0.3333,0.3785,4,Pressure Vulnerable,#e74c3c
IMHC Joyce,MO,15,8,7,1.167,0.5,0.4286,-16.6,72.53,89.13,0.0214,0.0769,0.0555,80.27,0.4667,0.4303,1,Composed Accumulator,#2ecc71
S Luus,MO,33,7,26,1.857,0.5714,0.3077,-25.4,76.55,101.95,0.0069,0.0924,0.0855,96.57,0.3636,0.3407,3,Explosive Aggressor,#3498db
Sidra Ameen,MO,17,5,12,1.6,0.8,0.5,-18.6,75.69,94.3,0.0154,0.0955,0.0801,88.82,0.5882,0.3748,1,Composed Accumulator,#2ecc71
L Lee,MO,22,5,17,1.275,0.6,0.4706,-36.8,88.57,125.37,-0.0588,0.1021,0.1609,117.01,0.5,0.3834,3,Explosive Aggressor,#3498db
MP Stoinis,MO,106,9,97,1.64,0.7778,0.4742,-42.6,96.8,139.39,-0.0328,0.129,0.1618,135.78,0.5,0.294,3,Explosive Aggressor,#3498db
Babar Hayat,MO,40,9,31,1.531,0.8889,0.5806,-65.19,64.8,129.99,-0.0898,0.0449,0.1346,115.33,0.65,0.3439,4,Pressure Vulnerable,#e74c3c
EA Perry,MO,44,7,37,2.349,0.5714,0.2432,-38.03,80.85,118.88,-0.0358,0.0919,0.1277,112.83,0.2955,0.3216,3,Explosive Aggressor,#3498db
HC Knight,MO,62,11,51,1.623,0.6364,0.3922,-58.9,64.29,123.18,-0.0787,0.0658,0.1446,112.73,0.4355,0.3211,3,Explosive Aggressor,#3498db
AE Jones,MO,42,5,37,0.411,0.2,0.4865,-48.27,78.25,126.52,-0.0582,0.1014,0.1596,120.77,0.4524,0.3037,3,Explosive Aggressor,#3498db
CJ Anderson,MO,31,6,25,1.389,0.5,0.36,-57.58,67.06,124.64,-0.0822,0.0543,0.1365,113.5,0.3871,0.3624,4,Pressure Vulnerable,#e74c3c
SA Yadav,MO,135,7,128,1.187,0.7143,0.6016,-74.92,75.86,150.77,-0.1331,0.0681,0.2012,146.89,0.6074,0.2696,2,Pressure Collapser,#9b59b6
AR Patel,MO,48,9,39,1.667,0.5556,0.3333,-36.54,91.16,127.7,-0.022,0.1218,0.1438,120.85,0.375,0.3283,3,Explosive Aggressor,#3498db
GWHM Perera,MO,22,8,14,2.45,0.875,0.3571,-20.58,78.15,98.72,-0.0079,0.085,0.0929,91.24,0.5455,0.397,1,Composed Accumulator,#2ecc71
Aizaz Khan,MO,23,5,18,2.057,0.8,0.3889,-39.14,76.14,115.29,-0.009,0.0748,0.0838,106.78,0.4783,0.3029,3,Explosive Aggressor,#3498db
TM Head,MO,48,6,42,1.522,0.8333,0.5476,-76.42,66.37,142.79,-0.1159,0.0472,0.1631,133.24,0.5833,0.2954,2,Pressure Collapser,#9b59b6
AC Agar,MO,20,5,15,3.0,0.8,0.2667,-48.83,69.52,118.35,-0.0601,0.0545,0.1146,106.14,0.4,0.3717,3,Explosive Aggressor,#3498db
AI Ross,MO,52,5,47,1.567,0.6,0.383,-40.01,87.63,127.63,-0.0355,0.0892,0.1247,123.79,0.4038,0.2683,3,Explosive Aggressor,#3498db
DJ Hooda,MO,42,5,37,0.965,0.6,0.6216,-57.74,75.86,133.6,-0.0968,0.0382,0.135,126.73,0.619,0.2701,3,Explosive Aggressor,#3498db
HH Pandya,MO,79,15,64,1.484,0.5333,0.3594,-53.56,83.12,136.68,-0.0745,0.0857,0.1603,126.51,0.3924,0.31,3,Explosive Aggressor,#3498db
HK Matthews,MO,37,7,30,2.143,1.0,0.4667,-38.91,87.83,126.74,-0.0532,0.1152,0.1684,119.37,0.5676,0.3365,3,Explosive Aggressor,#3498db
SW Billings,MO,59,5,54,1.2,0.6,0.5,-52.38,85.79,138.17,-0.0677,0.0853,0.153,133.73,0.5085,0.2654,3,Explosive Aggressor,#3498db
A Vala,MO,21,5,16,1.422,0.8,0.5625,-51.78,76.07,127.85,-0.0572,0.0717,0.1289,115.52,0.619,0.3106,3,Explosive Aggressor,#3498db
Mohammad Rizwan,MO,57,5,52,1.981,0.8,0.4038,-54.02,68.91,122.93,-0.0616,0.0433,0.105,118.19,0.4386,0.231,3,Explosive Aggressor,#3498db
GH Lewis,MO,43,6,37,1.298,0.6667,0.5135,-63.6,66.2,129.79,-0.1264,0.0516,0.178,120.92,0.5349,0.3251,4,Pressure Vulnerable,#e74c3c
L Delany,MO,50,13,37,1.005,0.4615,0.4595,-33.22,62.63,95.85,-0.0327,0.0534,0.0861,87.21,0.46,0.3989,1,Composed Accumulator,#2ecc71
Aliya Riaz,MO,33,17,16,4.706,0.2941,0.0625,-33.13,59.88,93.01,-0.0367,0.0606,0.0973,75.94,0.1818,0.4655,0,Steady Anchor,#34495e
Zeeshan Maqsood,MO,28,7,21,1.364,0.7143,0.5238,-50.16,73.44,123.6,-0.0923,0.0561,0.1484,111.06,0.5714,0.3356,3,Explosive Aggressor,#3498db
Nigar Sultana,MO,58,24,34,3.4,0.5,0.1471,-33.18,62.21,95.39,-0.0267,0.0546,0.0813,81.66,0.2931,0.4288,0,Steady Anchor,#34495e
MD Shanaka,MO,39,19,20,1.579,0.4737,0.3,-48.92,75.57,124.48,-0.051,0.0793,0.1303,100.65,0.3846,0.4069,3,Explosive Aggressor,#3498db
Muhammad Usman,MO,25,6,19,1.439,0.8333,0.5789,-34.86,88.44,123.3,-0.0248,0.1048,0.1296,114.93,0.64,0.347,3,Explosive Aggressor,#3498db
Muneeba Ali,MO,25,8,17,1.859,0.875,0.4706,-9.59,91.85,101.43,0.0334,0.1214,0.088,98.37,0.6,0.3787,1,Composed Accumulator,#2ecc71
MAA Sanjeewani,MO,17,7,10,2.381,0.7143,0.3,-9.4,83.75,93.15,0.0148,0.0953,0.0806,89.28,0.4706,0.3998,1,Composed Accumulator,#2ecc71
KH Pandya,MO,39,7,32,1.524,0.7143,0.4688,-62.59,71.34,133.93,-0.095,0.0659,0.1609,122.7,0.5128,0.3472,4,Pressure Vulnerable,#e74c3c
RR Pant,MO,101,9,92,1.835,0.7778,0.4239,-38.95,100.8,139.76,-0.057,0.1194,0.1765,136.29,0.4554,0.2853,3,Explosive Aggressor,#3498db
Ishan Kishan,MO,62,9,53,0.892,0.5556,0.6226,-56.4,85.35,141.75,-0.064,0.1051,0.1691,133.57,0.6129,0.2941,3,Explosive Aggressor,#3498db
N Rana,MO,58,8,50,1.509,0.875,0.58,-63.45,76.58,140.03,-0.0913,0.0845,0.1758,131.28,0.6207,0.3239,4,Pressure Vulnerable,#e74c3c
E Lewis,MO,28,7,21,1.235,1.0,0.8095,-69.15,94.73,163.89,-0.1201,0.1092,0.2293,146.6,0.8571,0.33,2,Pressure Collapser,#9b59b6
N Pooran,MO,93,10,83,1.158,0.6,0.5181,-48.28,96.54,144.82,-0.0564,0.1262,0.1826,139.63,0.5269,0.3157,3,Explosive Aggressor,#3498db
BJ Webster,MO,37,5,32,1.829,0.8,0.4375,-46.8,73.38,120.18,-0.0318,0.085,0.1168,113.85,0.4865,0.3238,3,Explosive Aggressor,#3498db
R Powell,MO,51,7,44,1.571,0.7143,0.4545,-101.88,42.17,144.06,-0.1706,0.011,0.1816,130.07,0.4902,0.3511,2,Pressure Collapser,#9b59b6
Mohammad Nabi,MO,20,5,15,1.667,1.0,0.6,-59.72,68.38,128.1,-0.1233,0.0308,0.1541,113.17,0.7,0.3548,4,Pressure Vulnerable,#e74c3c
Fakhar Zaman,MO,33,7,26,0.977,0.7143,0.7308,-73.94,69.33,143.27,-0.1263,0.0451,0.1714,127.58,0.7273,0.303,2,Pressure Collapser,#9b59b6
N de Klerk,MO,17,6,11,1.467,0.6667,0.4545,-19.33,72.65,91.98,-0.0062,0.0756,0.0818,85.16,0.5294,0.4248,1,Composed Accumulator,#2ecc71
ML Green,MO,32,9,23,2.272,0.8889,0.3913,-22.52,86.53,109.05,-0.0042,0.0923,0.0965,102.72,0.5312,0.3399,3,Explosive Aggressor,#3498db
Shubman Gill,MO,61,7,54,1.78,0.8571,0.4815,-61.45,81.3,142.76,-0.0572,0.0944,0.1516,135.7,0.5246,0.2373,3,Explosive Aggressor,#3498db
Mahirah Izzati Ismail,MO,22,14,8,1.0,0.5,0.5,-27.01,51.7,78.72,-0.0025,0.033,0.0355,61.53,0.5,0.4949,1,Composed Accumulator,#2ecc71
N Boochatham,MO,19,8,11,2.2,1.0,0.4545,-44.24,55.05,99.29,-0.0399,0.0286,0.0686,80.66,0.6842,0.4274,1,Composed Accumulator,#2ecc71
N Chaiwai,MO,38,16,22,1.547,0.5625,0.3636,-19.78,61.46,81.24,0.0039,0.051,0.0471,72.91,0.4474,0.4323,1,Composed Accumulator,#2ecc71
DB Sharma,MO,26,6,20,2.5,0.5,0.2,-8.83,88.69,97.52,0.0444,0.1227,0.0783,95.48,0.2692,0.3217,1,Composed Accumulator,#2ecc71
Mas Elysa,MO,33,14,19,3.054,0.6429,0.2105,-45.41,60.73,106.14,-0.067,0.0461,0.113,86.88,0.3939,0.4413,0,Steady Anchor,#34495e
C Sutthiruang,MO,32,18,14,5.444,0.7778,0.1429,-43.27,62.5,105.78,-0.034,0.0697,0.1037,81.43,0.5,0.4535,0,Steady Anchor,#34495e
WA Duraisingam,MO,31,17,14,3.569,0.7647,0.2143,-36.04,53.52,89.55,-0.0142,0.0474,0.0616,69.79,0.5161,0.4874,0,Steady Anchor,#34495e
H Madavi,MO,42,19,23,1.48,0.5789,0.3913,-32.28,79.38,111.66,-0.0446,0.077,0.1216,97.05,0.4762,0.409,1,Composed Accumulator,#2ecc71
RP Burl,MO,40,12,28,1.037,0.3333,0.3214,-42.58,85.45,128.03,-0.0439,0.0888,0.1327,115.25,0.325,0.3329,3,Explosive Aggressor,#3498db
N Koncharoenkai,MO,43,13,30,0.615,0.3077,0.5,-37.03,61.36,98.39,-0.0345,0.0587,0.0931,87.2,0.4419,0.41,1,Composed Accumulator,#2ecc71
SL Kalis,MO,28,7,21,3.0,0.7143,0.2381,-35.16,81.72,116.88,-0.0263,0.1029,0.1291,108.09,0.3571,0.3507,3,Explosive Aggressor,#3498db
K Awino,MO,17,8,9,0.45,0.25,0.5556,-29.66,54.82,84.48,0.0049,0.0476,0.0427,70.53,0.4118,0.4692,1,Composed Accumulator,#2ecc71
T Ruma,MO,17,9,8,1.333,0.3333,0.25,-49.55,58.84,108.39,-0.1107,0.0258,0.1365,82.15,0.2941,0.4601,4,Pressure Vulnerable,#e74c3c
B Tau,MO,23,11,12,2.545,0.6364,0.25,-29.58,72.32,101.9,-0.0335,0.0807,0.1142,87.76,0.4348,0.4301,1,Composed Accumulator,#2ecc71
KE Bryce,MO,25,9,16,2.133,0.6667,0.3125,-56.95,65.8,122.76,-0.0934,0.0542,0.1475,102.25,0.44,0.3908,4,Pressure Vulnerable,#e74c3c
SJ Bryce,MO,29,8,21,2.042,0.875,0.4286,-39.47,79.33,118.79,-0.0369,0.0943,0.1312,107.91,0.5517,0.3637,3,Explosive Aggressor,#3498db
B de Leede,MO,35,8,27,1.817,0.875,0.4815,-44.17,62.9,107.06,-0.0432,0.0678,0.111,96.97,0.5714,0.3813,3,Explosive Aggressor,#3498db
I Nakisuuyi,MO,41,27,14,1.728,0.7407,0.4286,-44.12,61.19,105.3,-0.0639,0.0596,0.1235,76.25,0.6341,0.5081,1,Composed Accumulator,#2ecc71
R Musamali,MO,44,18,26,2.648,0.6111,0.2308,-33.59,63.06,96.66,-0.0138,0.0454,0.0593,82.92,0.3864,0.4209,1,Composed Accumulator,#2ecc71
S Nampiina,MO,33,18,15,1.25,0.3333,0.2667,-49.68,58.7,108.37,-0.0548,0.0614,0.1162,81.28,0.303,0.4779,1,Composed Accumulator,#2ecc71
N Chantam,MO,35,17,18,1.21,0.4706,0.3889,-39.57,73.69,113.27,-0.0509,0.0803,0.1311,94.05,0.4286,0.4436,1,Composed Accumulator,#2ecc71
L Mophakedi,MO,22,8,14,1.4,0.5,0.3571,-27.13,59.7,86.83,-0.0163,0.062,0.0783,76.96,0.4091,0.4298,1,Composed Accumulator,#2ecc71
A van der Merwe,MO,16,9,7,0.972,0.5556,0.5714,-6.28,75.57,81.85,0.0448,0.0838,0.039,78.32,0.5625,0.4617,1,Composed Accumulator,#2ecc71
KA Green,MO,31,16,15,1.719,0.6875,0.4,-23.29,69.31,92.6,-0.0135,0.0739,0.0874,80.58,0.5484,0.499,1,Composed Accumulator,#2ecc71
W Mwatile,MO,32,26,6,1.269,0.4231,0.3333,-37.73,62.68,100.42,-0.0407,0.0658,0.1065,69.76,0.4062,0.5457,1,Composed Accumulator,#2ecc71
Yasmeen Khan,MO,39,15,24,1.778,0.6667,0.375,-45.02,66.05,111.07,-0.058,0.0639,0.1218,93.75,0.4872,0.4237,1,Composed Accumulator,#2ecc71
A Gardner,MO,32,5,27,1.62,0.6,0.3704,-34.31,92.33,126.65,-0.03,0.122,0.152,121.28,0.4062,0.3408,3,Explosive Aggressor,#3498db
CA Henry,MO,16,10,6,0.9,0.3,0.3333,-70.69,64.67,135.36,-0.0996,0.0682,0.1678,91.18,0.3125,0.4569,4,Pressure Vulnerable,#e74c3c
