player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density,cluster,archetype,archetype_color
Shubman Gill,PP,95,15,80,4.267,0.5333,0.125,-59.16,81.41,140.57,-0.088,0.1242,0.2123,131.23,0.1895,0.3798,0,Steady Anchor,#34495e
SM Mayers,PP,19,8,11,0.458,0.125,0.2727,-39.11,63.45,102.56,-0.0373,0.0965,0.1338,86.09,0.2105,0.525,1,Composed Accumulator,#2ecc71
V Langiatu,PP,19,11,8,2.909,0.3636,0.125,-41.25,48.24,89.49,-0.0779,0.0597,0.1376,65.61,0.2632,0.5684,0,Steady Anchor,#34495e
Erika Oda,PP,19,5,14,2.8,0.4,0.1429,-49.93,45.44,95.37,-0.0335,0.0883,0.1218,82.23,0.2105,0.4828,0,Steady Anchor,#34495e
R Andrew,PP,17,6,11,3.667,0.3333,0.0909,-57.77,49.13,106.9,-0.0758,0.0648,0.1406,86.51,0.1765,0.5155,0,Steady Anchor,#34495e
FO Kibasu,PP,28,12,16,0.444,0.0833,0.1875,-36.48,62.83,99.31,-0.0218,0.094,0.1158,83.68,0.1429,0.4959,1,Composed Accumulator,#2ecc71
MD Bimenyimana,PP,33,22,11,2.0,0.3636,0.1818,-26.17,53.78,79.94,-0.0183,0.0768,0.0951,62.5,0.303,0.5949,1,Composed Accumulator,#2ecc71
K Motlanka,PP,29,7,22,3.143,0.5714,0.1818,-52.41,60.72,113.13,-0.057,0.0958,0.1528,100.48,0.2759,0.4287,0,Steady Anchor,#34495e
Walid Ghauri,PP,16,6,10,1.667,0.5,0.3,-44.62,53.62,98.23,-0.043,0.0771,0.1201,81.5,0.375,0.5144,1,Composed Accumulator,#2ecc71
I Nakisuuyi,PP,27,19,8,1.053,0.2632,0.25,-26.83,47.81,74.64,-0.005,0.0513,0.0563,55.76,0.2593,0.6085,1,Composed Accumulator,#2ecc71
Syed Aziz,PP,48,9,39,1.806,0.5556,0.3077,-53.58,86.02,139.61,-0.093,0.1297,0.2227,129.56,0.3542,0.4259,4,Pressure Vulnerable,#e74c3c
JE Ronalds,PP,15,7,8,4.571,0.5714,0.125,-38.69,34.75,73.43,-0.0204,0.0206,0.0409,55.38,0.3333,0.5295,0,Steady Anchor,#34495e
Virandeep Singh,PP,53,7,46,2.19,0.2857,0.1304,-62.73,59.54,122.27,-0.1047,0.0743,0.179,113.99,0.1509,0.4328,4,Pressure Vulnerable,#e74c3c
N Pooran,PP,25,6,19,0.905,0.3333,0.3684,-105.28,69.26,174.54,-0.1946,0.1018,0.2964,149.27,0.36,0.4603,2,Pressure Collapser,#9b59b6
B de Leede,PP,32,12,20,2.083,0.4167,0.2,-48.56,48.95,97.51,-0.0701,0.0684,0.1385,79.3,0.2812,0.5094,1,Composed Accumulator,#2ecc71
N Koncharoenkai,PP,52,25,27,0.9,0.2,0.2222,-43.8,54.25,98.05,-0.0596,0.0656,0.1253,76.99,0.2115,0.5536,1,Composed Accumulator,#2ecc71
TS Fray,PP,20,5,15,4.0,0.8,0.2,-42.59,50.09,92.68,-0.0647,0.04,0.1047,82.03,0.35,0.4787,0,Steady Anchor,#34495e
Wan Julia,PP,34,9,25,3.333,0.6667,0.2,-35.64,46.63,82.27,-0.0703,0.0204,0.0906,72.84,0.3235,0.5076,0,Steady Anchor,#34495e
N Vare,PP,24,15,9,0.36,0.2,0.5556,-33.17,50.01,83.18,-0.0346,0.0725,0.1071,62.45,0.3333,0.6131,1,Composed Accumulator,#2ecc71
Murshida Khatun,PP,33,11,22,2.0,0.4545,0.2273,-18.19,65.85,84.04,-0.0116,0.0914,0.103,77.97,0.303,0.5067,1,Composed Accumulator,#2ecc71
Nazmul Hossain Shanto,PP,21,6,15,0.833,0.3333,0.4,-35.8,62.5,98.3,-0.0701,0.0667,0.1368,88.07,0.381,0.483,1,Composed Accumulator,#2ecc71
Shafali Verma,PP,64,8,56,3.0,0.75,0.25,-53.43,88.52,141.96,-0.1142,0.1344,0.2486,135.28,0.3125,0.4212,4,Pressure Vulnerable,#e74c3c
D Ajekun,PP,18,8,10,1.25,0.25,0.2,-43.13,55.5,98.63,-0.018,0.0842,0.1022,79.46,0.2222,0.5171,1,Composed Accumulator,#2ecc71
Sulaimon Runsewe,PP,44,10,34,1.36,0.4,0.2941,-52.74,59.42,112.16,-0.0961,0.0568,0.153,100.18,0.3182,0.4504,4,Pressure Vulnerable,#e74c3c
