player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density
TH David,Death,74,15,59,1.539,0.6,0.3898,-77.43,122.98,200.42,-0.1098,0.1747,0.2845,184.72,0.4324,0.2633
JJ Peirson,Death,33,5,28,3.5,1.0,0.2857,-67.05,96.5,163.55,-0.0659,0.1507,0.2166,153.39,0.3939,0.2339
Rashid Khan,Death,39,12,27,1.841,0.75,0.4074,-97.77,100.3,198.06,-0.1455,0.1591,0.3045,167.98,0.5128,0.3349
TL Seifert,Death,10,5,5,3.0,0.6,0.2,-33.77,104.07,137.83,-0.0199,0.1451,0.165,120.95,0.4,0.3712
Mahedi Hasan,Death,12,3,9,1.2,0.6667,0.5556,-24.66,119.53,144.19,-0.0321,0.1393,0.1714,138.02,0.5833,0.2698
ASS Fletcher,Death,14,5,9,1.35,0.6,0.4444,-73.92,45.06,118.98,-0.0791,0.0364,0.1154,92.58,0.5,0.3612
P Vastrakar,Death,14,3,11,2.444,0.6667,0.2727,-95.92,61.11,157.03,-0.1305,0.0606,0.1911,136.48,0.3571,0.2764
S Ecclestone,Death,17,6,11,5.5,0.5,0.0909,-95.28,61.03,156.31,-0.1866,0.0238,0.2104,122.69,0.2353,0.3207
KMA Paul,Death,10,5,5,1.333,0.8,0.6,-69.93,86.64,156.57,-0.1493,0.0717,0.221,121.61,0.7,0.3469
OF Smith,Death,13,6,7,2.333,0.6667,0.2857,-104.47,85.79,190.26,-0.1593,0.104,0.2633,142.05,0.4615,0.3638
Mohammed Siraj,Death,13,10,3,1.5,0.5,0.3333,-17.43,83.53,100.95,0.0311,0.1158,0.0847,87.55,0.4615,0.4969
C Sutthiruang,Death,22,7,15,2.143,0.7143,0.3333,-67.79,64.56,132.35,-0.0589,0.0595,0.1184,110.78,0.4545,0.3435
Mahirah Izzati Ismail,Death,11,3,8,1.778,0.6667,0.375,-9.0,69.52,78.52,0.0313,0.0847,0.0534,76.06,0.4545,0.3414
Asif Ali,Death,11,3,8,2.667,0.6667,0.25,-51.32,125.0,176.32,-0.0418,0.2083,0.2502,162.32,0.3636,0.3233
Chaya Mughal,Death,12,3,9,0.75,0.3333,0.4444,-51.45,60.83,112.29,-0.0181,0.0833,0.1014,99.42,0.4167,0.3327
N Koncharoenkai,Death,16,4,12,3.0,0.5,0.1667,-87.16,68.89,156.05,-0.1511,0.067,0.218,134.26,0.25,0.2802
R Rijke,Death,15,4,11,2.75,0.75,0.2727,-71.05,68.16,139.21,-0.0814,0.055,0.1364,120.26,0.4,0.2656
R Musamali,Death,21,4,17,2.125,0.5,0.2353,-48.87,58.22,107.09,-0.0574,0.05,0.1074,97.78,0.2857,0.3202
K Awino,Death,12,4,8,0.0,0.0,0.25,-19.92,70.68,90.59,0.032,0.0778,0.0458,83.95,0.1667,0.3834
S Nampiina,Death,23,8,15,1.875,0.625,0.3333,-67.49,80.89,148.38,-0.0678,0.1141,0.1819,124.9,0.4348,0.3441
G Matome,Death,16,6,10,,0.3333,0.0,-33.73,70.85,104.58,-0.0293,0.0866,0.1159,91.93,0.125,0.3618
AM Kamara,Death,15,4,11,0.393,0.25,0.6364,-60.04,46.62,106.65,-0.0645,0.0263,0.0908,90.64,0.5333,0.3282
N Pooran,Death,50,7,43,1.675,0.8571,0.5116,-12.86,160.53,173.39,0.0249,0.2694,0.2445,171.59,0.56,0.2649
DR Sams,Death,27,5,22,2.444,1.0,0.4091,-96.07,81.5,177.57,-0.1575,0.0771,0.2347,159.78,0.5185,0.2784
