batter,0_dots,1_dots,2_dots,3_dots,4_dots,5+_dots,balls_faced,dismissal_rate_pct
Aritra Dutta,6.33245382585752,4.964539007092199,2.1739130434782608,0.0,0.0,,586,5.460750853242321
V Balakrishnan,4.285714285714286,3.4246575342465753,4.25531914893617,15.0,0.0,0.0,583,4.288164665523156
AR Ramjani,5.263157894736842,4.672897196261682,2.7777777777777777,0.0,25.0,0.0,583,4.974271012006861
M Taylor,4.501607717041801,4.72972972972973,4.285714285714286,3.7037037037037033,0.0,13.333333333333334,582,4.639175257731959
RM Dorji,4.986149584487535,3.6231884057971016,4.25531914893617,4.761904761904762,25.0,14.285714285714285,582,4.982817869415808
PP Chawla,6.569343065693431,10.909090909090908,10.81081081081081,0.0,0.0,0.0,581,7.401032702237521
RE van der Merwe,5.922551252847381,3.9215686274509802,0.0,16.666666666666664,50.0,0.0,580,5.517241379310345
Jaker Ali,4.691358024691358,2.564102564102564,5.714285714285714,0.0,0.0,0.0,579,4.145077720207254
V Ooko,4.281345565749235,5.0,3.225806451612903,0.0,7.142857142857142,0.0,579,4.145077720207254
Shaheryar Butt,4.1208791208791204,6.474820143884892,0.0,6.666666666666667,25.0,0.0,578,4.498269896193772
WK Dilhari,6.75,4.918032786885246,5.0,0.0,0.0,0.0,578,6.055363321799308
ZE Green,6.61764705882353,0.8620689655172413,6.0606060606060606,0.0,0.0,,577,5.1993067590987865
Shaiman Anwar,4.301075268817205,4.838709677419355,0.0,0.0,0.0,0.0,575,3.826086956521739
T Bavuma,4.810126582278481,5.555555555555555,6.382978723404255,0.0,0.0,50.0,574,5.052264808362369
C Connolly,4.738154613466334,2.564102564102564,0.0,0.0,12.5,0.0,574,4.006968641114982
D Wiese,4.439252336448598,3.9603960396039604,6.666666666666667,0.0,0.0,,573,4.363001745200698
Aminata Kamara,3.32409972299169,6.451612903225806,4.444444444444445,0.0,0.0,0.0,573,3.8394415357766145
Muhammad Muneeb,3.4574468085106385,5.426356589147287,6.666666666666667,9.090909090909092,0.0,0.0,572,4.195804195804196
H Carlyon,4.632152588555858,7.633587786259542,8.333333333333332,5.88235294117647,0.0,33.33333333333333,571,5.779334500875657
SM Whiteman,7.000000000000001,4.958677685950414,2.7777777777777777,16.666666666666664,0.0,,571,6.47985989492119
Muhammad Asim,4.23728813559322,2.631578947368421,2.0,3.7037037037037033,0.0,0.0,570,3.508771929824561
Shahreeennawab,2.2222222222222223,1.6260162601626018,3.6363636363636362,6.896551724137931,5.263157894736842,0.0,569,2.460456942003515
A Chandel,3.6923076923076925,2.2556390977443606,4.545454545454546,3.8461538461538463,0.0,0.0,569,3.3391915641476277
Nahida Khan,3.225806451612903,8.108108108108109,7.8125,0.0,0.0,0.0,568,4.753521126760563
Basil Hameed,3.8834951456310676,5.9405940594059405,9.375,0.0,0.0,0.0,568,4.401408450704225
D Abeyrathna,4.081632653061225,4.918032786885246,0.0,8.333333333333332,0.0,4.761904761904762,568,4.049295774647888
Sarfaraz Ali,7.033639143730887,4.861111111111112,5.555555555555555,0.0,0.0,11.11111111111111,567,5.996472663139329
K Vijayaraghavan,2.9702970297029703,4.545454545454546,3.508771929824561,6.666666666666667,0.0,3.7037037037037033,566,3.53356890459364
L Yamamoto-Lake,4.8517520215633425,7.079646017699115,7.317073170731707,4.761904761904762,9.090909090909092,12.5,565,5.663716814159292
Hamza Khan,4.735376044568245,0.7299270072992701,2.1739130434782608,7.6923076923076925,0.0,0.0,563,3.5523978685612785
Agha Salman,4.534005037783375,3.571428571428571,3.125,8.333333333333332,0.0,25.0,563,4.440497335701599
J Edwards,6.615776081424936,6.086956521739131,5.88235294117647,0.0,0.0,0.0,562,6.227758007117438
V Langiatu,4.081632653061225,4.545454545454546,1.5625,0.0,5.88235294117647,15.789473684210526,561,4.09982174688057
CA Henry,5.248618784530387,5.303030303030303,0.0,6.666666666666667,0.0,16.666666666666664,561,4.991087344028521
P Khadka,3.2,5.555555555555555,2.7777777777777777,5.88235294117647,20.0,0.0,560,3.9285714285714284
EAJ Richardson,4.087193460490464,6.666666666666667,4.878048780487805,5.88235294117647,10.0,20.0,560,5.0
Khizer Ahmed,4.972375690607735,3.90625,2.272727272727273,0.0,0.0,0.0,560,4.285714285714286
G Mckeon,3.7433155080213902,4.716981132075472,0.0,0.0,10.0,0.0,560,3.571428571428571
RD Rickelton,6.133333333333333,3.3333333333333335,2.5,14.285714285714285,0.0,0.0,559,5.366726296958855
A Dizija,3.508771929824561,5.785123966942149,1.8867924528301887,9.090909090909092,0.0,11.11111111111111,559,4.114490161001789
W Sutherland,6.954436450839328,4.166666666666666,3.571428571428571,9.090909090909092,0.0,0.0,558,6.272401433691756
R Chopra,4.289544235924933,2.7027027027027026,2.380952380952381,10.0,0.0,0.0,557,3.949730700179533
Faheem Nazir,3.3333333333333335,3.389830508474576,2.941176470588235,0.0,0.0,0.0,557,3.231597845601436
Umaima Sohail,6.990881458966565,4.316546762589928,9.615384615384617,5.88235294117647,0.0,0.0,556,6.294964028776978
M Uwase,4.946996466431095,6.8181818181818175,4.477611940298507,5.88235294117647,0.0,9.523809523809524,555,5.405405405405405
E Chigumbura,5.623471882640587,4.854368932038835,13.043478260869565,0.0,0.0,14.285714285714285,554,5.776173285198556
Ritu Moni,4.398826979472141,3.389830508474576,14.285714285714285,0.0,0.0,0.0,554,4.873646209386282
IA De Silva,4.451038575667656,2.2058823529411766,2.083333333333333,0.0,0.0,22.22222222222222,553,3.79746835443038
M Syrioti,2.7439024390243905,1.4598540145985401,3.6363636363636362,0.0,0.0,0.0,552,2.355072463768116
PA Chatterji,7.4498567335243555,5.217391304347826,0.0,0.0,0.0,0.0,551,5.807622504537205
AC Blizzard,3.9473684210526314,2.8301886792452833,10.0,6.25,16.666666666666664,100.0,549,4.553734061930783
KM Myat,2.6755852842809364,2.34375,5.084745762711865,3.7037037037037033,0.0,4.545454545454546,549,2.914389799635701
RL Haynes,3.8461538461538463,2.941176470588235,0.0,0.0,0.0,,546,3.47985347985348
LJ Evans,4.30622009569378,6.666666666666667,0.0,0.0,0.0,,545,4.4036697247706424
NR Kumar,4.177545691906006,8.653846153846153,0.0,0.0,14.285714285714285,0.0,543,4.788213627992634
T Perera,4.193548387096775,3.1746031746031744,0.0,0.0,0.0,18.181818181818183,543,3.4990791896869244
SM Katich,4.3927648578811365,4.464285714285714,3.225806451612903,0.0,0.0,33.33333333333333,542,4.428044280442804
RT Ponting,3.3426183844011144,7.4074074074074066,0.0,0.0,25.0,0.0,542,4.059040590405904
H Thaker,4.75,6.451612903225806,0.0,22.22222222222222,0.0,0.0,539,5.009276437847866
AGS Gous,4.699738903394255,3.9603960396039604,0.0,0.0,0.0,0.0,538,4.089219330855019
Khushi Sharma,5.740181268882175,2.7777777777777777,6.521739130434782,0.0,0.0,0.0,537,4.8417132216014895
IDM Latin,4.132231404958678,3.7735849056603774,8.823529411764707,6.666666666666667,12.5,0.0,536,4.477611940298507
