batter,low_pressure_rate,high_pressure_rate,pressure_increase,balls_faced
A Limdawala,5.339805825242718,6.0,0.6601941747572821,513
A Lister,7.494145199063232,4.166666666666666,-3.327478532396566,496
A Makri,2.5236593059936907,2.5,-0.023659305993690705,403
A Manepalli,4.093567251461988,0.0,-4.093567251461988,189
A Manohar,7.657657657657657,0.0,-7.657657657657657,243
A Mansale,3.9301310043668125,0.0,-3.9301310043668125,500
A Mare,5.371900826446281,3.4482758620689653,-1.923624964377316,297
A McAuley,4.57516339869281,5.88235294117647,1.30718954248366,351
A Merritt,3.2640949554896146,6.666666666666667,3.4025717111770524,371
A Mesarovic,2.3255813953488373,0.0,-2.3255813953488373,198
A Mhatre,4.201680672268908,0.0,-4.201680672268908,131
A Mishra,2.849740932642487,14.285714285714285,11.435973353071798,440
A Mohamed,6.796116504854369,0.0,-6.796116504854369,118
A Mohammed,3.75,7.142857142857142,3.3928571428571423,101
A Mokgotlhe,4.477611940298507,0.0,-4.477611940298507,416
A Mundra,4.519774011299435,0.0,-4.519774011299435,196
A Natubhai Ahir,5.726872246696035,8.0,2.2731277533039647,283
A Ndiraya,6.451612903225806,0.0,-6.451612903225806,174
A Nehra,4.3478260869565215,16.666666666666664,12.318840579710143,105
A Nortje,10.75268817204301,0.0,-10.75268817204301,102
A Osei,7.317073170731707,3.571428571428571,-3.7456445993031355,125
A Ostergaard,1.3513513513513513,6.25,4.898648648648649,111
A Otwani,5.46875,0.0,-5.46875,157
A Oxley,3.007518796992481,0.0,-3.007518796992481,161
A Parima,5.555555555555555,8.333333333333332,2.777777777777777,232
A Patmore,5.0,25.0,20.0,313
A Perera,4.0,5.714285714285714,1.7142857142857144,347
A Pusthay,4.580152671755725,9.090909090909092,4.510756419153367,157
A Raghuvanshi,5.177993527508091,0.0,-5.177993527508091,326
A Rajshekara,3.0,0.0,-3.0,118
A Rameshan,2.9629629629629632,0.0,-2.9629629629629632,166
A Randhawa,5.323193916349809,0.0,-5.323193916349809,314
A Raza,8.040201005025125,20.0,11.959798994974875,217
A Reddy,10.638297872340425,0.0,-10.638297872340425,107
A Reyes,4.918032786885246,10.0,5.081967213114754,210
A Salomao,8.256880733944955,25.0,16.743119266055047,134
A Savvani,2.840909090909091,0.0,-2.840909090909091,229
A Sharafu,3.936269915651359,2.564102564102564,-1.372167351548795,1195
A Sharma,6.440677966101695,6.451612903225806,0.010934937124111421,358
A Shreshta,3.9634146341463414,4.761904761904762,0.7984901277584204,376
A Sokovagone,4.201680672268908,0.0,-4.201680672268908,131
A Sootaga,4.301075268817205,0.0,-4.301075268817205,113
A Stocks,4.128440366972478,0.0,-4.128440366972478,284
A Sutherland,11.940298507462686,0.0,-11.940298507462686,139
A Suwanchonrathi,5.579399141630901,2.380952380952381,-3.1984467606785203,311
A Symonds,2.8089887640449436,2.380952380952381,-0.42803638309256264,985
A Taylor,1.0,0.0,-1.0,128
A Turay,5.092592592592593,7.6923076923076925,2.5997150997151,267
A Turkmen,4.639175257731959,0.0,-4.639175257731959,213
A Vaidya,4.891304347826087,5.263157894736842,0.3718535469107547,226
A Vala,4.041450777202073,4.444444444444445,0.40299366724237196,1088
A Venkatesh,4.201680672268908,0.0,-4.201680672268908,255
A Vessik,2.9629629629629632,0.0,-2.9629629629629632,155
A Wanjira,7.59493670886076,9.090909090909092,1.4959723820483317,103
A Yon,4.0,0.0,-4.0,137
A Zampa,7.633587786259542,0.0,-7.633587786259542,298
A van der Merwe,2.7586206896551726,1.3157894736842104,-1.4428312159709622,892
AA Alleyne,5.993690851735016,3.0303030303030303,-2.9633878214319855,386
AA Jangoo,3.8461538461538463,0.0,-3.8461538461538463,129
AA Jasani,2.142857142857143,0.0,-2.142857142857143,158
AA Jhunjhunwala,4.761904761904762,8.333333333333332,3.5714285714285703,218
AA Navicha,2.564102564102564,5.0,2.435897435897436,238
AA Obanda,5.4,2.941176470588235,-2.4588235294117653,590
AA Onikoyi,5.113636363636364,4.878048780487805,-0.23558758314855943,435
AA Patil,4.6082949308755765,0.0,-4.6082949308755765,243
AA Rahayu,6.428571428571428,0.0,-6.428571428571428,168
AA Senn,3.535353535353535,0.0,-3.535353535353535,221
AAP Rivero,7.03125,0.0,-7.03125,151
AB Agarkar,4.487179487179487,0.0,-4.487179487179487,171
AB Kamara,4.301075268817205,7.6923076923076925,3.3912324234904876,209
AB Kaur,2.3255813953488373,0.0,-2.3255813953488373,144
AB McDonald,5.072463768115942,0.0,-5.072463768115942,300
AB de Villiers,3.5682226211849195,4.273504273504273,0.7052816523193539,4819
ABY Smith,2.191780821917808,0.0,-2.191780821917808,442
AC Agar,6.373626373626373,0.0,-6.373626373626373,977
AC Blizzard,3.7037037037037033,13.043478260869565,9.33977455716586,549
AC Douglas,6.086956521739131,14.285714285714285,8.198757763975154,270
AC Gilchrist,4.9414824447334205,0.0,-4.9414824447334205,1758
AC Jayangani,3.830911492734478,3.765690376569038,-0.06522111616544013,2802
AC Kerr,3.679476696647588,0.0,-3.679476696647588,1344
AC Sabino,5.5045871559633035,0.0,-5.5045871559633035,138
AC Voges,3.2388663967611335,0.0,-3.2388663967611335,1046
AD Dore,5.555555555555555,7.6923076923076925,2.136752136752137,192
AD Hales,4.435058078141499,3.8095238095238098,-0.6255342686176895,3159
AD Mascarenhas,6.0606060606060606,0.0,-6.0606060606060606,215
AD Mathews,3.9350405996252342,2.941176470588235,-0.9938641290369992,1762
AD Poynter,5.042016806722689,0.0,-5.042016806722689,137
AD Russell,5.276381909547738,9.183673469387756,3.9072915598400177,2638
ADS Fletcher,4.96054114994363,5.555555555555555,0.5950144056119253,1073
AE Isesele,9.01639344262295,0.0,-9.01639344262295,136
AE Jones,4.806934594168637,0.0,-4.806934594168637,1386
AE Paraam,2.631578947368421,10.0,7.368421052631579,210
AE Satterthwaite,4.098360655737705,2.1739130434782608,-1.9244476122594438,967
AF Ifill,6.956521739130435,6.25,-0.7065217391304346,152
AF Milne,9.090909090909092,16.666666666666664,7.575757575757573,135
AGS Gous,4.545454545454546,0.0,-4.545454545454546,538
AI Chudasama,2.8368794326241136,0.0,-2.8368794326241136,162
AI Ross,4.044117647058823,5.128205128205128,1.0840874811463044,1754
AIV Benatar,2.127659574468085,0.0,-2.127659574468085,341
AJ Ayannaike,11.811023622047244,0.0,-11.811023622047244,153
AJ Blackwell,2.9250457038391224,5.555555555555555,2.630509851716433,600
AJ Doolan,4.294478527607362,10.0,5.705521472392638,364
AJ Finch,3.865546218487395,2.0100502512562812,-1.8554959672311138,6577
AJ Healy,4.292527821939586,4.310344827586207,0.01781700564662092,2169
AJ Hose,5.460750853242321,0.0,-5.460750853242321,322
AJ Hosein,4.777070063694268,0.0,-4.777070063694268,363
AJ Jabiri,5.69620253164557,9.090909090909092,3.394706559263522,220
AJ Mosca,3.0534351145038165,0.0,-3.0534351145038165,282
AJ Turner,4.636519748139668,7.4074074074074066,2.7708876592677383,1849
AJ Tye,9.946236559139784,0.0,-9.946236559139784,409
AK Markram,4.599406528189911,3.3333333333333335,-1.266073194856577,2200
AK Mohan,5.367231638418079,0.0,-5.367231638418079,450
AK Sah,7.453416149068323,0.0,-7.453416149068323,188
AL Kerai,5.769230769230769,0.0,-5.769230769230769,134
AL Menaria,5.81039755351682,0.0,-5.81039755351682,367
AL Mundundo,2.6178010471204187,7.017543859649122,4.399742812528704,285
AL Phehlukwayo,8.904109589041095,0.0,-8.904109589041095,159
AL Seddon,4.580152671755725,0.0,-4.580152671755725,154
AL Watkins,2.0,0.0,-2.0,119
AM Hardie,4.199475065616798,4.3478260869565215,0.14835102133972367,1231
AM Healey,6.9306930693069315,2.941176470588235,-3.9895165987186965,156
AM Kamara,2.5440313111545985,2.631578947368421,0.08754763621382233,653
AM Kimote,5.734767025089606,14.285714285714285,8.550947260624678,317
AM Nayar,5.233644859813085,5.0,-0.2336448598130847,588
AM Rahane,3.735774369124196,6.666666666666667,2.930892297542471,4480
AM Tribe,4.892966360856269,0.0,-4.892966360856269,366
AM Zepeda,2.3498694516971277,0.0,-2.3498694516971277,461
AN Kelly,9.774436090225564,0.0,-9.774436090225564,151
AN Kervezee,4.511278195488721,0.0,-4.511278195488721,149
AN Lascu,2.941176470588235,7.6923076923076925,4.751131221719458,198
AP Devcich,7.18954248366013,0.0,-7.18954248366013,170
AP Rajeevan,3.6988110964332894,3.7037037037037033,0.004892607270413851,843
